iter	Passed	Remaining
405	7184	28207
406	7209	28219
407	7225	28192
408	7243	28176
409	7265	28174
410	7287	28174
411	7305	28158
412	7323	28140
413	7339	28118
414	7356	28097
415	7373	28077
416	7392	28062
417	7408	28040
418	7425	28019
419	7442	27996
420	7458	27972
421	7474	27948
422	7490	27927
423	7507	27905
424	7524	27884
425	7541	27864
426	7560	27849
427	7577	27832
428	7594	27811
429	7612	27793
430	7629	27776
431	7646	27755
432	7663	27732
433	7679	27710
434	7696	27688
435	7712	27666
436	7729	27646
437	7745	27623
438	7762	27600
439	7777	27575
440	7794	27554
441	7810	27532
442	7827	27509
443	7843	27488
444	7861	27469
445	7878	27450
446	7895	27429
447	7913	27413
448	7929	27389
449	7945	27369
450	7965	27358
451	7982	27339
452	8000	27320
453	8017	27302
454	8033	27278
455	8051	27262
456	8068	27241
457	8084	27217
458	8101	27198
459	8118	27179
460	8135	27158
461	8152	27140
462	8169	27118
463	8186	27099
464	8202	27076
465	8218	27053
466	8234	27032
467	8251	27010
468	8266	26986
469	8283	26964
470	8300	26944
471	8315	26920
472	8331	26898
473	8349	26878
474	8364	26854
475	8381	26833
476	8398	26815
477	8415	26794
478	8431	26773
479	8452	26767
480	8475	26766
481	8499	26769
482	8523	26770
483	8543	26758
484	8559	26737
485	8584	26741
486	8601	26723
487	8620	26710
488	8640	26698
489	8658	26682
490	8674	26659
491	8690	26636
492	8706	26614
493	8723	26593
494	8739	26571
495	8755	26549
496	8771	26526
497	8787	26504
498	8804	26484
499	8824	26474
500	8840	26452
501	8857	26432
502	8873	26409
503	8889	26386
504	8907	26368
505	8922	26345
506	8938	26322
507	8961	26321
508	8978	26299
509	8994	26278
510	9011	26257
511	9027	26236
512	9045	26219
513	9061	26198
514	9077	26175
515	9094	26155
516	9110	26134
517	9127	26113
518	9143	26092
519	9161	26074
520	9177	26053
521	9193	26031
522	9209	26009
523	9226	25990
524	9244	25973
525	9260	25950
526	9276	25928
527	9293	25909
528	9309	25887
529	9325	25864
530	9342	25846
531	9361	25831
532	9377	25811
533	9394	25791
534	9410	25769
535	9427	25749
536	9443	25726
537	9460	25708
538	9479	25694
539	9496	25674
540	9512	25652
541	9529	25635
542	9546	25616
543	9565	25602
544	9581	25579
545	9597	25557
546	9613	25535
547	9628	25513
548	9645	25492
549	9662	25473
550	9678	25451
551	9695	25433
552	9712	25412
553	9728	25392
554	9746	25375
555	9762	25355
556	9779	25334
557	9805	25339
558	9831	25342
559	9859	25352
560	9876	25333
561	9892	25311
562	9913	25303
563	9930	25284
564	9952	25278
565	9971	25263
566	9988	25245
567	10004	25223
568	10022	25206
569	10040	25189
570	10056	25167
571	10072	25145
572	10088	25124
573	10107	25110
574	10123	25088
575	10139	25065
576	10156	25047
577	10172	25026
578	10190	25011
579	10208	24993
580	10224	24972
581	10242	24954
582	10258	24934
583	10275	24913
584	10291	24893
585	10307	24870
586	10323	24851
587	10340	24831
588	10357	24813
589	10377	24801
590	10393	24778
591	10410	24759
592	10426	24739
593	10443	24719
594	10459	24698
595	10475	24676
596	10492	24658
597	10509	24639
598	10525	24618
599	10544	24603
600	10562	24587
601	10578	24566
602	10595	24546
603	10611	24526
604	10630	24510
605	10646	24490
606	10663	24470
607	10679	24449
608	10695	24429
609	10713	24412
610	10731	24396
611	10748	24377
612	10764	24356
613	10782	24339
614	10798	24319
615	10814	24297
616	10830	24276
617	10846	24255
618	10863	24237
619	10879	24215
620	10895	24193
621	10911	24174
622	10927	24153
623	10943	24132
624	10964	24120
625	10981	24104
626	10997	24081
627	11012	24059
628	11029	24039
629	11045	24019
630	11062	24000
631	11079	23981
632	11095	23960
633	11110	23939
634	11126	23917
635	11142	23897
636	11159	23878
637	11182	23871
638	11211	23879
639	11239	23883
640	11256	23866
641	11272	23845
642	11290	23827
643	11313	23821
644	11330	23802
645	11347	23783
646	11365	23767
647	11384	23752
648	11402	23735
649	11418	23716
650	11436	23698
651	11454	23682
652	11470	23661
653	11486	23640
654	11502	23619
655	11518	23599
656	11534	23578
657	11552	23561
658	11569	23542
659	11584	23520
660	11602	23502
661	11618	23482
662	11635	23464
663	11651	23444
664	11668	23424
665	11684	23404
666	11701	23384
667	11717	23364
668	11734	23345
669	11750	23325
670	11766	23305
671	11783	23286
672	11800	23268
673	11817	23249
674	11834	23230
675	11850	23210
676	11867	23190
677	11884	23173
678	11901	23155
679	11919	23136
680	11937	23120
681	11959	23112
682	11978	23098
683	11996	23081
684	12012	23061
685	12029	23041
686	12046	23023
687	12063	23004
688	12079	22983
689	12096	22965
690	12112	22945
691	12129	22927
692	12149	22913
693	12165	22893
694	12181	22872
695	12196	22851
696	12213	22831
697	12229	22812
698	12246	22792
699	12261	22771
700	12279	22755
701	12297	22738
702	12313	22718
703	12329	22697
704	12346	22678
705	12365	22663
706	12382	22645
707	12399	22626
708	12415	22607
709	12433	22590
710	12450	22571
711	12467	22553
712	12494	22553
713	12523	22556
714	12545	22547
715	12567	22537
716	12585	22520
717	12607	22511
718	12626	22495
719	12644	22479
720	12661	22460
721	12678	22442
722	12695	22422
723	12713	22405
724	12729	22386
725	12745	22366
726	12761	22346
727	12779	22328
728	12801	22319
729	12837	22334
730	12856	22318
731	12874	22302
732	12895	22290
733	12914	22274
734	12934	22260
735	12960	22258
736	12978	22241
737	12994	22220
738	13011	22201
739	13027	22182
740	13044	22163
741	13063	22147
742	13082	22132
743	13101	22117
744	13128	22116
745	13147	22100
746	13166	22084
747	13183	22067
748	13202	22050
749	13224	22041
750	13242	22024
751	13260	22006
752	13279	21991
753	13298	21975
754	13316	21959
755	13336	21945
756	13354	21928
757	13373	21912
758	13392	21896
759	13409	21879
760	13430	21866
761	13449	21851
762	13468	21835
763	13487	21820
764	13507	21805
765	13526	21790
766	13544	21772
767	13563	21758
768	13591	21757
769	13611	21743
770	13630	21727
771	13649	21712
772	13670	21700
773	13689	21683
774	13707	21667
775	13726	21650
776	13745	21635
777	13764	21619
778	13785	21606
779	13804	21591
780	13823	21575
781	13841	21558
782	13859	21541
783	13877	21524
784	13895	21507
785	13912	21488
786	13928	21468
787	13960	21472
788	13993	21478
789	14023	21479
790	14041	21461
791	14064	21451
792	14081	21433
793	14098	21414
794	14118	21399
795	14138	21385
796	14157	21369
797	14175	21352
798	14192	21333
799	14209	21313
800	14225	21294
801	14243	21275
802	14259	21256
803	14276	21237
804	14292	21217
805	14309	21198
806	14326	21179
807	14344	21161
808	14360	21140
809	14376	21120
810	14394	21103
811	14419	21097
812	14439	21082
813	14455	21061
814	14474	21045
815	14493	21029
816	14510	21011
817	14526	20990
818	14542	20970
819	14558	20950
820	14577	20933
821	14593	20914
822	14610	20894
823	14626	20874
824	14642	20855
825	14659	20835
826	14676	20816
827	14692	20797
