iter	AverageGain:top=10
0	0.127350712
1	0.131223762
2	0.1322458169
3	0.1341823419
4	0.1343795805
5	0.1342719958
6	0.1349175041
7	0.1360650745
8	0.1367105829
9	0.1366747213
10	0.137122991
11	0.1374636759
12	0.1374457451
13	0.1374995375
14	0.1372843681
15	0.1373560912
16	0.1376788454
17	0.1375891914
18	0.1376788454
19	0.1378222917
20	0.1380733227
21	0.1383064229
22	0.1380912535
23	0.1380553919
24	0.1380015995
25	0.1382884921
26	0.1382526306
27	0.1381988382
28	0.1381988382
29	0.1381988382
30	0.1380733227
31	0.1382705613
32	0.1383422845
33	0.1384319384
34	0.1383422845
35	0.1384678
36	0.1384498692
37	0.1384857308
38	0.1385036616
39	0.1386650387
40	0.138718831
41	0.1387009002
42	0.1386291771
43	0.1386829695
44	0.1386112463
45	0.1385933155
46	0.1385395232
47	0.1386112463
48	0.1385753847
49	0.1385036616
50	0.1385574539
51	0.1386650387
52	0.1387546926
53	0.1388981389
54	0.1388622773
55	0.1389160697
56	0.139059516
57	0.1391312391
58	0.139059516
59	0.1391671007
60	0.1391133083
61	0.1390415852
62	0.1390774468
63	0.1391312391
64	0.1392567546
65	0.1391312391
66	0.1390953776
67	0.1391850315
68	0.1391312391
69	0.1392029623
70	0.1391312391
71	0.1392029623
72	0.1392567546
73	0.1392388239
74	0.139310547
75	0.1394360625
76	0.1394719241
77	0.1394719241
78	0.1394898549
79	0.1395436472
80	0.1395795088
81	0.1394002009
82	0.1393822702
83	0.1393822702
84	0.1393284778
85	0.1393284778
86	0.1393822702
87	0.1394539933
88	0.1394002009
89	0.1394181317
90	0.1392926162
91	0.1392746854
92	0.1394002009
93	0.1392567546
94	0.1393464086
95	0.1395257164
96	0.139561578
97	0.1395436472
98	0.139651232
99	0.139651232
100	0.1397229551
101	0.1396870935
102	0.1396153704
103	0.1396870935
104	0.1397408859
105	0.1397946783
106	0.1397408859
107	0.139812609
108	0.1398484706
109	0.1399381246
110	0.1399381246
111	0.1400457093
112	0.1400457093
113	0.1399739861
114	0.1400277785
115	0.1399739861
116	0.1397767475
117	0.1398843322
118	0.1397408859
119	0.1397767475
120	0.139812609
121	0.1397229551
122	0.139902263
123	0.1400098477
124	0.1400815709
125	0.1400098477
126	0.1401353632
127	0.1400636401
128	0.140153294
129	0.1401712248
130	0.1401712248
131	0.1402250171
132	0.1403146711
133	0.1402788095
134	0.1402788095
135	0.1403146711
136	0.1402608787
137	0.1404401866
138	0.140404325
139	0.1404222558
140	0.1404401866
141	0.1403505327
142	0.1404401866
143	0.1404222558
144	0.1404760482
145	0.1404760482
146	0.1405298405
147	0.140493979
148	0.1405119097
149	0.1405119097
150	0.1406015637
151	0.1405477713
152	0.1405836329
153	0.1405836329
154	0.1406732868
155	0.140655356
156	0.1406732868
157	0.140655356
158	0.1406732868
159	0.1407270792
160	0.1407270792
161	0.1406912176
162	0.140655356
163	0.1406015637
164	0.1406374253
165	0.140655356
166	0.1406732868
167	0.1405836329
168	0.1406015637
169	0.1406732868
170	0.1407270792
171	0.1407091484
172	0.1406732868
173	0.1407091484
174	0.140655356
175	0.1407091484
176	0.1407808716
177	0.1407808716
178	0.1408167331
179	0.1407091484
180	0.1407091484
181	0.1406912176
182	0.1407270792
183	0.1407808716
184	0.14074501
185	0.1408167331
186	0.1408167331
187	0.1408525947
188	0.1408705255
189	0.1408525947
190	0.1408346639
191	0.1408346639
192	0.1408705255
193	0.1408884563
194	0.1408884563
195	0.1409781102
196	0.1409422486
197	0.1409781102
198	0.1409781102
199	0.1410856949
200	0.1411036257
201	0.1410498334
202	0.1411036257
203	0.1410856949
204	0.1410498334
205	0.1410139718
206	0.1410139718
207	0.140996041
208	0.1409781102
209	0.1409243178
210	0.1410139718
211	0.1409601794
212	0.140996041
213	0.1410139718
