iter	Passed	Remaining
399	35830	143323
400	35924	143250
401	36013	143158
402	36103	143070
403	36193	142982
404	36297	142950
405	36389	142868
406	36477	142772
407	36565	142676
408	36652	142576
409	36738	142473
410	36829	142390
411	36921	142310
412	37010	142218
413	37102	142135
414	37192	142048
415	37280	141951
416	37369	141860
417	37457	141765
418	37546	141671
419	37636	141584
420	37725	141491
421	37814	141401
422	37903	141310
423	37993	141221
424	38093	141169
425	38206	141166
426	38298	141085
427	38388	140997
428	38490	140953
429	38579	140859
430	38668	140767
431	38758	140677
432	38850	140595
433	38937	140499
434	39027	140408
435	39115	140313
436	39204	140219
437	39293	140127
438	39384	140044
439	39476	139961
440	39567	139875
441	39660	139798
442	39750	139708
443	39844	139636
444	39934	139547
445	40024	139458
446	40123	139399
447	40217	139324
448	40310	139244
449	40401	139162
450	40495	139086
451	40593	139024
452	40685	138940
453	40780	138868
454	40901	138884
455	40994	138804
456	41081	138706
457	41172	138619
458	41266	138542
459	41358	138461
460	41451	138382
461	41542	138294
462	41631	138200
463	41724	138121
464	41815	138036
465	41906	137948
466	42001	137875
467	42094	137796
468	42186	137713
469	42274	137618
470	42363	137524
471	42453	137433
472	42546	137353
473	42635	137261
474	42753	137262
475	42843	137172
476	42933	137081
477	43023	136991
478	43113	136901
479	43202	136809
480	43293	136722
481	43384	136635
482	43475	136547
483	43566	136459
484	43657	136372
485	43751	136294
486	43844	136214
487	43937	136134
488	44055	136129
489	44146	136042
490	44234	135945
491	44324	135857
492	44415	135770
493	44506	135681
494	44594	135585
495	44688	135506
496	44780	135424
497	44873	135340
498	44966	135260
499	45063	135190
500	45172	135155
501	45264	135072
502	45354	134980
503	45443	134888
504	45535	134803
505	45628	134720
506	45720	134637
507	45824	134587
508	45924	134526
509	46021	134454
510	46116	134379
511	46216	134316
512	46306	134224
513	46419	134200
514	46515	134128
515	46613	134059
516	46705	133973
517	46798	133890
518	46892	133811
519	46985	133727
520	47079	133648
521	47173	133568
522	47278	133518
523	47377	133453
524	47470	133370
525	47567	133298
526	47679	133267
527	47793	133243
528	47891	133171
529	47980	133078
530	48079	133010
531	48175	132935
532	48269	132853
533	48366	132782
534	48469	132723
535	48572	132666
536	48674	132607
537	48770	132533
538	48867	132458
539	48963	132381
540	49076	132353
541	49193	132332
542	49289	132255
543	49379	132162
544	49472	132078
545	49565	131993
546	49656	131903
547	49748	131814
548	49838	131722
549	49930	131635
550	50023	131551
551	50115	131463
552	50207	131375
553	50319	131338
554	50428	131295
555	50531	131237
556	50637	131184
557	50743	131131
558	50845	131069
559	50942	130993
560	51063	130980
561	51163	130913
562	51261	130839
563	51356	130758
564	51458	130694
565	51557	130625
566	51662	130567
567	51778	130540
568	51878	130471
569	51970	130382
570	52062	130292
571	52163	130225
572	52264	130159
573	52369	130102
574	52465	130023
575	52563	129949
576	52653	129853
577	52743	129759
578	52838	129679
579	52943	129621
580	53043	129549
581	53138	129469
582	53231	129382
583	53323	129290
584	53415	129202
585	53506	129108
586	53608	129044
587	53699	128951
588	53790	128859
589	53886	128778
590	53977	128688
591	54096	128660
592	54203	128606
593	54294	128514
594	54384	128419
595	54474	128325
596	54563	128229
597	54653	128133
598	54742	128038
599	54837	127953
600	54928	127862
601	55023	127779
602	55146	127761
603	55245	127687
604	55339	127599
605	55430	127509
606	55523	127420
607	55615	127330
608	55705	127235
609	55796	127142
610	55887	127050
611	55977	126956
612	56067	126860
613	56186	126830
614	56283	126752
615	56373	126658
616	56470	126578
617	56561	126486
618	56651	126391
619	56742	126297
620	56835	126209
621	56926	126116
622	57019	126027
623	57110	125936
624	57227	125901
625	57322	125817
626	57414	125726
627	57506	125636
628	57604	125556
629	57694	125463
630	57785	125368
631	57878	125281
632	57972	125195
633	58066	125108
634	58173	125050
635	58278	124987
636	58372	124899
637	58462	124806
638	58555	124717
639	58647	124624
640	58740	124537
641	58834	124449
642	58925	124358
643	59016	124264
644	59105	124167
645	59220	124124
646	59319	124048
647	59409	123954
648	59501	123861
649	59593	123771
650	59690	123690
651	59782	123600
652	59874	123508
653	59962	123409
654	60051	123312
655	60144	123223
656	60245	123151
657	60344	123073
658	60436	122983
659	60528	122891
660	60624	122808
661	60713	122711
662	60805	122619
663	60896	122526
664	60991	122441
665	61082	122347
666	61180	122270
667	61293	122219
668	61388	122135
669	61480	122042
670	61574	121956
671	61666	121864
672	61756	121769
673	61848	121677
674	61938	121582
675	62027	121486
676	62119	121394
677	62209	121299
678	62317	121239
679	62416	121160
680	62507	121067
681	62599	120976
682	62690	120882
683	62781	120789
684	62871	120694
685	62961	120599
686	63054	120510
687	63147	120421
688	63238	120327
689	63350	120274
690	63445	120188
691	63537	120097
692	63631	120009
693	63722	119915
694	63813	119822
695	63904	119729
696	63996	119637
697	64090	119550
698	64182	119457
699	64285	119387
700	64395	119328
701	64485	119234
702	64577	119143
703	64669	119050
704	64761	118959
705	64854	118870
706	64945	118776
707	65034	118679
708	65123	118581
709	65213	118486
710	65314	118411
711	65420	118344
712	65512	118253
713	65606	118164
714	65700	118076
715	65795	117990
716	65886	117897
717	65977	117803
718	66070	117714
719	66164	117625
720	66331	117667
721	66437	117599
722	66528	117505
723	66620	117413
724	66713	117322
725	66803	117228
726	66892	117131
727	66982	117035
728	67072	116940
729	67162	116845
730	67251	116747
731	67342	116653
732	67450	116588
733	67540	116493
734	67629	116396
735	67720	116303
736	67817	116219
737	67921	116148
738	68018	116064
739	68111	115973
740	68201	115878
741	68289	115779
742	68388	115699
743	68512	115660
744	68606	115571
745	68698	115479
746	68792	115391
747	68885	115300
748	68977	115208
749	69070	115117
750	69164	115028
751	69257	114937
752	69354	114854
753	69463	114789
754	69562	114708
755	69658	114623
756	69750	114531
757	69840	114435
758	69931	114341
759	70021	114246
760	70112	114151
761	70203	114057
762	70293	113961
763	70384	113868
764	70488	113795
765	70584	113708
766	70674	113613
767	70766	113521
768	70856	113425
769	70946	113329
770	71037	113235
771	71130	113145
772	71221	113051
773	71312	112958
774	71408	112871
775	71515	112802
776	71612	112717
777	71706	112629
778	71805	112548
779	71896	112454
780	71986	112358
781	72076	112263
782	72168	112169
783	72260	112077
784	72351	111983
785	72442	111888
786	72551	111823
787	72666	111765
788	72768	111689
789	72859	111594
790	72949	111499
791	73040	111405
792	73131	111310
793	73221	111215
794	73311	111120
795	73403	111026
796	73499	110940
797	73610	110876
798	73715	110803
799	73809	110713
800	73899	110619
801	73991	110525
802	74084	110434
803	74176	110342
804	74269	110250
805	74359	110155
806	74450	110061
807	74544	109971
808	74663	109918
809	74758	109831
810	74854	109743
811	74944	109648
812	75040	109561
813	75134	109471
814	75227	109380
815	75321	109290
816	75417	109202
817	75511	109112
818	75616	109038
819	75717	108959
820	75810	108867
821	75903	108776
822	76000	108690
823	76094	108601
824	76187	108508
825	76280	108417
826	76372	108324
827	76465	108233
828	76558	108141
829	76663	108068
830	76764	107987
831	76859	107898
832	76951	107806
833	77042	107711
834	77151	107641
835	77257	107569
836	77355	107483
837	77451	107397
838	77547	107309
839	77643	107222
840	77759	107162
841	77864	107087
842	78000	107054
843	78109	106983
844	78205	106895
845	78307	106816
846	78410	106738
847	78507	106651
848	78609	106572
849	78719	106502
850	78819	106420
851	78927	106348
852	79023	106260
853	79120	106172
854	79212	106079
855	79307	105990
856	79399	105896
857	79492	105804
858	79583	105710
859	79675	105616
860	79767	105522
861	79875	105450
862	79970	105360
863	80065	105271
864	80158	105178
865	80254	105091
866	80351	105003
867	80445	104913
868	80540	104823
869	80637	104736
870	80728	104641
871	80822	104549
872	80931	104478
873	81024	104385
874	81121	104299
875	81215	104208
876	81312	104120
877	81403	104025
878	81503	103942
879	81599	103853
880	81691	103760
881	81785	103669
882	81892	103594
883	81996	103516
884	82094	103429
885	82185	103334
886	82278	103242
887	82373	103152
888	82468	103062
889	82570	102981
890	82665	102891
891	82758	102798
892	82851	102706
893	82965	102640
894	83064	102554
895	83158	102462
896	83252	102371
897	83347	102281
898	83443	102192
899	83544	102109
900	83642	102023
901	83736	101931
902	83827	101837
903	83936	101764
904	84036	101680
905	84127	101584
906	84218	101489
907	84309	101394
908	84402	101301
909	84496	101209
910	84589	101117
911	84683	101025
912	84776	100933
913	84867	100838
914	84977	100765
915	85080	100684
916	85171	100589
917	85261	100493
918	85360	100407
919	85455	100317
920	85548	100224
921	85641	100131
922	85734	100038
923	85826	99945
924	85929	99863
925	86037	99788
926	86138	99704
927	86233	99614
928	86327	99522
929	86419	99428
930	86515	99339
931	86612	99251
932	86709	99163
933	86801	99068
934	86893	98975
935	86995	98892
936	87102	98814
937	87198	98725
938	87291	98632
939	87383	98538
940	87475	98444
941	87568	98351
942	87672	98271
943	87772	98186
944	87869	98097
945	87964	98007
946	88077	97935
947	88184	97858
948	88282	97771
949	88382	97685
950	88489	97607
951	88593	97527
952	88697	97446
953	88800	97363
954	88918	97297
955	89024	97219
956	89123	97132
957	89243	97068
958	89338	96977
959	89434	96887
960	89532	96799
961	89626	96707
962	89720	96614
963	89813	96521
964	89906	96427
965	89999	96335
966	90092	96241
967	90195	96159
968	90306	96085
969	90402	95994
970	90501	95907
971	90594	95814
972	90687	95720
973	90791	95638
974	90892	95553
975	90985	95460
976	91078	95367
