iter	QuerySoftMax	AverageGain:top=1
0	4.593557665	0.03562998287
1	4.56857471	0.1035384152
2	4.542916462	0.1776083279
3	4.513069431	0.2136123914
4	4.490634493	0.2108670983
5	4.468069578	0.234015425
6	4.449927084	0.2180193446
7	4.411808819	0.2714385496
8	4.376853193	0.3213648703
9	4.352773975	0.3410241867
10	4.323616529	0.3662448485
11	4.300629654	0.3662448485
12	4.281996955	0.3590926022
13	4.267372282	0.3582213191
14	4.251421515	0.3464312921
15	4.216078506	0.4110206334
16	4.192041504	0.3913862942
17	4.169473794	0.3869280322
18	4.150514507	0.3913862942
19	4.131194232	0.3973295786
20	4.1115228	0.3823510817
21	4.090093748	0.4410586524
22	4.064925417	0.3863588025
23	4.033365912	0.4113392928
24	3.999823566	0.4132517731
25	3.981860243	0.4132517731
26	3.959318273	0.4132517731
27	3.934300337	0.4132517731
28	3.915003665	0.4132517731
29	3.891117817	0.421093586
30	3.872866989	0.421093586
31	3.853402787	0.4852924872
32	3.833036015	0.4852924872
33	3.814774402	0.4852924872
34	3.798066651	0.5252126018
35	3.774161907	0.5252126018
36	3.751260181	0.5475905279
37	3.730877398	0.5475905279
38	3.715563376	0.551998869
39	3.694812302	0.5296209429
40	3.675110677	0.5296209429
41	3.653925282	0.5296209429
42	3.634987137	0.5120804606
43	3.622198181	0.5120804606
44	3.604344255	0.5120804606
45	3.588064039	0.5120804606
46	3.566293708	0.5196747172
47	3.547987286	0.5196747172
48	3.531008396	0.5196747172
49	3.514422704	0.5290015852
50	3.49119978	0.5622610711
51	3.479929569	0.5622610711
52	3.466673857	0.5622610711
53	3.451774295	0.5622610711
54	3.434441369	0.5622610711
55	3.421509665	0.5622610711
56	3.402379743	0.5622610711
57	3.387310267	0.5622610711
58	3.371404139	0.5622610711
59	3.36639092	0.5798015534
60	3.351243959	0.5798015534
61	3.341598242	0.5798015534
62	3.321778377	0.5798015534
63	3.302991986	0.5798015534
64	3.284854405	0.5948565216
65	3.272453375	0.5773160393
66	3.261286762	0.5773160393
67	3.248580483	0.5968306083
68	3.239147411	0.5843901682
69	3.224587899	0.6044764321
70	3.213311936	0.6044764321
71	3.196645638	0.6044764321
72	3.182450556	0.6044764321
73	3.173489628	0.6044764321
74	3.160218963	0.6044764321
75	3.148834022	0.6044764321
76	3.133383765	0.6044764321
77	3.128034898	0.6044764321
78	3.112736038	0.6044764321
79	3.101095305	0.6044764321
80	3.085375422	0.6169168722
81	3.073221824	0.6169168722
82	3.054014608	0.6392947983
83	3.045601956	0.6392947983
84	3.035117186	0.6392947983
85	3.024376464	0.6392947983
86	3.009804993	0.6392947983
87	2.997197857	0.6467660142
88	2.985829159	0.6467660142
89	2.973353156	0.6467660142
90	2.96571337	0.6467660142
91	2.957420296	0.6467660142
92	2.943525498	0.6467660142
93	2.931941056	0.666632787
94	2.928815467	0.666632787
95	2.921496528	0.666632787
96	2.911884598	0.666632787
97	2.897025711	0.6541923469
98	2.877997387	0.6541923469
99	2.862515854	0.6541923469
100	2.853082784	0.6541923469
101	2.838306373	0.6541923469
102	2.82551321	0.6709012
103	2.813112197	0.6609387132
104	2.807722162	0.6609387132
105	2.799260045	0.6609387132
106	2.789063973	0.6609387132
107	2.776251869	0.6609387132
108	2.770140318	0.6609387132
109	2.752537865	0.6609387132
110	2.747376003	0.6609387132
111	2.738556029	0.6609387132
112	2.728960081	0.6609387132
113	2.719552571	0.6609387132
114	2.701460876	0.6609387132
115	2.696690823	0.6609387132
116	2.68799578	0.6702655812
117	2.671114286	0.6702655812
118	2.663752057	0.6702655812
119	2.652264049	0.6702655812
120	2.647574681	0.6702655812
121	2.636356339	0.6702655812
122	2.624216697	0.6702655812
123	2.615558517	0.6702655812
124	2.609455878	0.6702655812
125	2.607492943	0.6702655812
126	2.604560298	0.6702655812
127	2.597091813	0.6702655812
128	2.578736587	0.6787993104
129	2.568997219	0.6787993104
130	2.567334717	0.6787993104
131	2.554735908	0.6787993104
132	2.549732322	0.6787993104
133	2.53617204	0.6787993104
134	2.526559928	0.6694724424
135	2.516434248	0.6694724424
136	2.507122534	0.6694724424
137	2.494062072	0.6760413657
138	2.484859492	0.6694724424
139	2.474553779	0.6694724424
140	2.470647207	0.6694724424
141	2.462871741	0.6694724424
142	2.447635339	0.6808529179
143	2.436198341	0.6901797858
144	2.427094026	0.7065266709
145	2.414326059	0.7065266709
146	2.405325598	0.7065266709
147	2.396050758	0.7065266709
148	2.387000708	0.7065266709
149	2.379863005	0.7065266709
150	2.373895228	0.7065266709
151	2.368829119	0.7065266709
152	2.358714463	0.7065266709
153	2.349287188	0.7065266709
154	2.341265195	0.7065266709
155	2.330589987	0.718967111
156	2.324668256	0.7075866355
157	2.317064731	0.7075866355
158	2.313007783	0.718967111
159	2.302961676	0.718967111
160	2.29049889	0.718967111
161	2.282259885	0.718967111
162	2.276972003	0.718967111
163	2.270478272	0.718967111
164	2.265148995	0.718967111
165	2.258437569	0.718967111
166	2.249765384	0.718967111
167	2.243486467	0.718967111
168	2.23618154	0.7261193572
169	2.231132848	0.7261193572
170	2.22698929	0.7261193572
171	2.217865453	0.7261193572
172	2.212694162	0.7261193572
173	2.204600922	0.7261193572
174	2.198732351	0.7261193572
175	2.191200018	0.7261193572
176	2.189239911	0.7261193572
177	2.180680228	0.7261193572
178	2.171798513	0.7261193572
179	2.163353555	0.7261193572
180	2.160001766	0.7261193572
181	2.15393379	0.730750228
182	2.146752944	0.730750228
183	2.141298639	0.7193697525
184	2.134779224	0.7193697525
185	2.130537529	0.7193697525
186	2.123469588	0.730750228
187	2.115384632	0.7193697525
188	2.108422414	0.7193697525
189	2.103566653	0.7193697525
190	2.100186967	0.7206764924
191	2.094066509	0.7314541603
192	2.088525171	0.7314541603
193	2.083831397	0.7320569679
194	2.080711529	0.7428346358
195	2.073874646	0.7428346358
196	2.064402389	0.7428346358
197	2.061118718	0.7428346358
198	2.053883647	0.7428346358
199	2.047259175	0.7428346358
200	2.040582232	0.7428346358
201	2.036471918	0.7314541603
202	2.029995794	0.7428346358
203	2.027587355	0.7428346358
204	2.020866461	0.7428346358
205	2.016684752	0.7428346358
206	2.008907436	0.7428346358
207	2.002440172	0.7434702547
208	1.99256022	0.7434702547
209	1.990832464	0.7434702547
210	1.984590976	0.7434702547
211	1.980297229	0.7428346358
212	1.971327548	0.7428346358
213	1.966364209	0.7428346358
214	1.96080778	0.7428346358
215	1.95251444	0.7428346358
216	1.945743428	0.7428346358
217	1.934981511	0.7434702547
218	1.929867106	0.7434702547
219	1.922606929	0.7434702547
220	1.915804644	0.7434702547
221	1.91187043	0.7434702547
222	1.90609902	0.7434702547
223	1.904636941	0.7434702547
224	1.90066522	0.7434702547
225	1.891673854	0.7532111365
226	1.885104616	0.7532111365
227	1.881756616	0.7532111365
228	1.872448641	0.7532111365
229	1.86728672	0.7532111365
230	1.862810978	0.7532111365
231	1.857983629	0.7532111365
232	1.853793239	0.7532111365
233	1.850304926	0.7532111365
234	1.845799459	0.7532111365
235	1.843100983	0.7532111365
236	1.839294279	0.7532111365
237	1.832969457	0.7532111365
238	1.828038131	0.7532111365
239	1.824238477	0.7532111365
240	1.819404729	0.7532111365
241	1.814068738	0.7532111365
242	1.812324014	0.7583849422
243	1.80506658	0.7797498701
244	1.803734688	0.7797498701
245	1.802577794	0.7797498701
246	1.799325709	0.7797498701
247	1.795941069	0.7797498701
248	1.792697942	0.7797498701
249	1.790207417	0.7797498701
250	1.784955495	0.7797498701
251	1.778328509	0.7797498701
252	1.777607919	0.7797498701
253	1.77090466	0.7797498701
254	1.765787265	0.7797498701
255	1.761971247	0.7797498701
256	1.761135653	0.7797498701
257	1.757494277	0.7797498701
258	1.753021025	0.7797498701
259	1.748051182	0.7797498701
260	1.745509403	0.7797498701
261	1.737811033	0.7797498701
262	1.734217575	0.7797498701
263	1.728927522	0.7797498701
264	1.719022922	0.7797498701
265	1.716034125	0.7797498701
266	1.712521653	0.7797498701
267	1.708111542	0.7797498701
268	1.700963649	0.7857106338
269	1.696628545	0.7882053379
270	1.695619871	0.7882053379
271	1.692921701	0.7882053379
272	1.686526131	0.7797498701
273	1.683838804	0.7797498701
274	1.677623737	0.7797498701
275	1.670888125	0.7797498701
276	1.665118201	0.8029123259
277	1.659504955	0.8037851028
278	1.654675742	0.8122405706
279	1.647276471	0.8122405706
280	1.645166605	0.8122405706
281	1.644015405	0.8122405706
282	1.642810193	0.8122405706
283	1.637939738	0.8166311582
284	1.63496254	0.8122405706
285	1.632321829	0.8122405706
286	1.62779171	0.8122405706
287	1.624015831	0.8188094939
288	1.622218572	0.8188094939
289	1.618404529	0.8188094939
290	1.611887672	0.8188094939
291	1.607633029	0.8188094939
292	1.599175069	0.8188094939
293	1.595175435	0.8188094939
294	1.592453583	0.8188094939
295	1.586232455	0.8188094939
296	1.577326238	0.8188094939
297	1.573908082	0.8188094939
298	1.56758542	0.8188094939
299	1.563433218	0.8188094939
300	1.5560852	0.8247702576
301	1.551081091	0.8247702576
302	1.543618638	0.8247702576
303	1.540382295	0.8247702576
304	1.535148705	0.8408770222
305	1.531657698	0.8408770222
306	1.526352544	0.8408770222
307	1.519464801	0.8408770222
308	1.506630926	0.8408770222
309	1.499305505	0.8452676098
310	1.497720661	0.8452676098
311	1.490948818	0.8452676098
312	1.484432284	0.8452676098
313	1.47858971	0.867316438
314	1.473467428	0.867316438
315	1.468659513	0.867316438
316	1.465488831	0.867316438
317	1.461396282	0.867316438
318	1.456907778	0.867316438
319	1.448502523	0.867316438
320	1.445385492	0.867316438
321	1.444085966	0.867316438
322	1.436493914	0.867316438
323	1.428464222	0.8752332797
324	1.42143706	0.8752332797
325	1.417862365	0.8752332797
326	1.414396694	0.8654923979
327	1.407678056	0.8752332797
328	1.403746495	0.8752332797
329	1.399908201	0.8654923979
330	1.39600907	0.8654923979
331	1.39336751	0.8654923979
332	1.393077985	0.8654923979
333	1.386546429	0.8752332797
334	1.379316158	0.8752332797
335	1.372430246	0.8752332797
336	1.368052737	0.8752332797
337	1.365039369	0.8752332797
338	1.360780405	0.8752332797
339	1.354020999	0.8841153488
340	1.351613667	0.8841153488
341	1.345260975	0.8841153488
342	1.342074846	0.8841153488
343	1.337486919	0.8841153488
344	1.332246144	0.8841153488
345	1.329086345	0.8841153488
346	1.325841765	0.8841153488
347	1.32029684	0.8841153488
348	1.316715936	0.8841153488
