iter	RMSE	AverageGain:top=10
423	0.1522767978	0.4472534934
424	0.1522106047	0.4477406139
425	0.1521627618	0.44821729
426	0.1520866394	0.4474190045
427	0.1520358452	0.4481135582
428	0.1519651116	0.448323983
429	0.1519164788	0.448323983
430	0.1518978447	0.4490710822
431	0.1518610093	0.4490710822
432	0.1517751392	0.4490485418
433	0.1517159891	0.4490485418
434	0.1516544796	0.4480754419
435	0.1516518804	0.4480754419
436	0.1515788641	0.4474734497
437	0.1515215063	0.4474826164
438	0.1514276833	0.4476210325
439	0.1514248711	0.4476210325
440	0.1513747438	0.448108638
441	0.1512937641	0.4488902538
442	0.1512227879	0.4500491576
443	0.1511749582	0.4495620371
444	0.1511285765	0.4489268488
445	0.1510628263	0.4489747361
446	0.1509995022	0.4494035964
447	0.1509449936	0.448812913
448	0.1508919498	0.4491629402
449	0.1508415508	0.4492333678
450	0.1507730552	0.4493116959
451	0.1507044219	0.4494013831
452	0.1506721338	0.4492996372
453	0.1506418481	0.4496496643
454	0.1505690108	0.4497880121
455	0.1505149004	0.4497880121
456	0.1504589179	0.4488934039
457	0.1504012333	0.4495913096
458	0.1503069128	0.449989224
459	0.1502590361	0.4503241356
460	0.1502120447	0.4501976361
461	0.1501544091	0.4507663995
462	0.1501521158	0.4507663995
463	0.1500750523	0.4512991324
464	0.1500727914	0.4512991324
465	0.1500213389	0.4507466759
466	0.1499768971	0.4502775869
467	0.1499267449	0.4507466759
468	0.1499245332	0.4507466759
469	0.1498603591	0.4507558426
470	0.1497941685	0.4504850027
471	0.1497449993	0.4505772394
472	0.1497029907	0.4495619016
473	0.1496446001	0.450518111
474	0.1495210545	0.4512770021
475	0.1494609826	0.4507603742
476	0.1494162323	0.4507603742
477	0.149360698	0.4510460992
478	0.1492844088	0.4521917018
479	0.1492222949	0.4521259964
480	0.1491680426	0.4521259964
481	0.149165904	0.4521259964
482	0.1491213557	0.4525659933
483	0.1490666403	0.4522644125
484	0.1490214329	0.4521987725
485	0.1489518421	0.4531828238
486	0.1489158754	0.4530125177
487	0.1489141159	0.4530125177
488	0.1488576774	0.4526897097
489	0.1488018043	0.4528691826
490	0.1487400266	0.4532040942
491	0.1487036918	0.4537835461
492	0.1487016929	0.4537835461
493	0.1486645185	0.4542235429
494	0.1485957493	0.455042659
495	0.1485480105	0.4551965041
496	0.1485131049	0.4549585206
497	0.1484529433	0.4546389779
498	0.1484095693	0.4544851328
499	0.1483455147	0.4544851328
500	0.1482757097	0.4541851056
501	0.1482319371	0.4541553808
502	0.1481711627	0.4541275494
503	0.1481061253	0.4541036058
504	0.148038069	0.4536917963
505	0.1480022144	0.4536917963
506	0.1479556789	0.4541276411
507	0.1478991659	0.4541276411
508	0.1478588558	0.4550391256
509	0.147809965	0.4552185984
510	0.1477584395	0.4552185984
511	0.1477387337	0.4552185984
512	0.1476959858	0.4546532699
513	0.1476263509	0.4546532699
514	0.1475932148	0.4544890603
515	0.1475442363	0.4538890059
516	0.1474942125	0.4538890059
517	0.1474315967	0.453731737
518	0.1473557284	0.4534478401
519	0.1473537697	0.4534478401
520	0.1473047597	0.453748726
521	0.1472116008	0.4537712664
522	0.147147678	0.4552335299
523	0.1470640891	0.4543067822
524	0.147013107	0.4552335299
525	0.1469776344	0.4548044007
526	0.146927609	0.4558361511
527	0.1468840296	0.4549344379
528	0.146835571	0.4555344923
529	0.1467843633	0.4562835604
530	0.1467279902	0.4563263569
531	0.1466817978	0.4564895336
532	0.146635146	0.4574797443
533	0.146563322	0.4574797443
534	0.1465300474	0.4574797443
535	0.1464926938	0.4578132839
536	0.1464627242	0.4580403999
537	0.1464095105	0.4580812204
538	0.146356994	0.4589605948
539	0.1463236619	0.4589605948
540	0.1462861083	0.4584173546
541	0.1462093055	0.4583765341
542	0.1461520565	0.4587565976
543	0.1461502204	0.4587565976
544	0.1461047072	0.4587565976
545	0.1460476661	0.4587565976
546	0.146045821	0.4587565976
547	0.1460168737	0.4589854144
548	0.145990965	0.4587808388
549	0.1459136585	0.4593288867
550	0.1458860647	0.4593288867
551	0.1458329724	0.4597192352
552	0.1457691672	0.4599871717
553	0.1457186799	0.4594903995
554	0.1456826299	0.4605638056
555	0.1456530965	0.460591637
556	0.1456234631	0.4603296086
557	0.1455679764	0.4606631482
558	0.1455245725	0.4606909796
559	0.1454457935	0.4616425211
560	0.1454104825	0.4621392932
561	0.145354281	0.4611877518
562	0.1453163127	0.4611877518
563	0.1452607337	0.4611877518
564	0.1451949315	0.4620114633
565	0.1451475863	0.4620114633
566	0.1451037739	0.4617056993
567	0.1450605008	0.4616778679
568	0.144981231	0.4620666825
569	0.1449068486	0.4615234423
570	0.144823205	0.4630182239
571	0.1447824039	0.4630460554
572	0.1447283692	0.4630460554
573	0.1446789592	0.4630221117
574	0.1446730013	0.4630221117
575	0.1446299333	0.4635188839
576	0.144585321	0.4635188839
577	0.1445267611	0.4649755769
578	0.1444666453	0.4649755769
579	0.1444306015	0.4654389508
580	0.1443694031	0.4654389508
581	0.1443176974	0.4641121592
582	0.1442607522	0.4641549557
583	0.1442589583	0.4641549557
584	0.1442125301	0.4641121592
585	0.1441575581	0.4636359301
586	0.1440955932	0.4654817473
587	0.1440564777	0.4654389508
588	0.1439961954	0.4654817473
589	0.1439268886	0.4651686949
590	0.1438979448	0.4654817473
591	0.1438662151	0.4654817473
592	0.1438190384	0.4665513464
593	0.1437614284	0.4665513464
594	0.1436967772	0.4665513464
595	0.1436754192	0.4665513464
596	0.1436387448	0.4661255749
597	0.1435940626	0.4661481153
598	0.1435470325	0.4663467708
599	0.1435154458	0.4659209993
600	0.1434642532	0.4663467708
601	0.1434177013	0.4668630136
602	0.1433733634	0.4668630136
603	0.1432883092	0.4666643581
604	0.1432372139	0.4671114853
605	0.1431954148	0.4674107573
606	0.1431171811	0.4668135618
607	0.1430805847	0.4668135618
608	0.1430398947	0.4665864458
609	0.143027349	0.4665864458
610	0.1429699701	0.4668135618
611	0.1429227395	0.4665864458
612	0.1428595235	0.4667857304
613	0.1428278077	0.4678210537
614	0.1427909361	0.4677971101
615	0.1427187379	0.4683493811
616	0.1426768303	0.4683733248
617	0.1426198234	0.4683733248
618	0.1425725842	0.4673897765
619	0.1425312109	0.4688424137
620	0.1424826607	0.4688424137
621	0.1424350143	0.4683076142
622	0.1423758779	0.4685567211
623	0.142355096	0.4685567211
624	0.1423127372	0.4688769682
